rtime,speed,ldws,lkas
2020-11-27 14:44,109,1,1
2020-11-27 14:44,109,1,1
2020-11-27 14:44,109,1,1
2020-11-27 14:44,109,1,1
2020-11-27 14:44,109,1,1
2020-11-27 14:44,109,1,1
2020-11-27 14:44,109,1,1
2020-11-27 14:44,109,1,1
2020-11-27 14:44,109,1,1
2020-11-27 14:44,109,1,1
2020-11-27 14:44,109,1,1
2020-11-27 14:44,109,1,1
2020-11-27 14:44,109,1,1
2020-11-27 14:44,110,1,1
2020-11-27 14:44,111,1,1
2020-11-27 14:44,116,1,1
2020-11-27 14:44,118,1,1
2020-11-27 14:44,121,1,1
2020-11-27 14:44,123,1,1
2020-11-27 14:44,123,1,1
2020-11-27 14:44,124,1,1
2020-11-27 14:44,124,1,1
2020-11-27 14:44,124,1,1
2020-11-27 14:45,123,1,1
2020-11-27 14:45,122,1,1
2020-11-27 14:45,120,1,1
2020-11-27 14:45,118,1,1
2020-11-27 14:45,117,1,1
2020-11-27 14:45,116,1,1
2020-11-27 14:45,115,1,1
2020-11-27 14:45,114,1,1
2020-11-27 14:45,112,1,1
2020-11-27 14:45,111,1,1
2020-11-27 14:45,110,1,1
2020-11-27 14:45,110,1,1
2020-11-27 14:45,109,1,1
2020-11-27 14:45,109,1,1
2020-11-27 14:45,109,1,1
2020-11-27 14:45,109,1,1
2020-11-27 14:45,109,1,1
2020-11-27 14:45,108,1,1
2020-11-27 14:45,108,1,1
2020-11-27 14:45,107,1,1
2020-11-27 14:45,107,1,1
2020-11-27 14:45,107,1,1
2020-11-27 14:45,107,1,1
2020-11-27 14:45,106,1,1
2020-11-27 14:45,106,1,1
2020-11-27 14:45,106,1,1
2020-11-27 14:45,106,1,1
2020-11-27 14:45,107,1,1
2020-11-27 14:45,107,1,1
2020-11-27 14:45,107,1,1
2020-11-27 14:45,107,1,1
2020-11-27 14:45,107,1,1
2020-11-27 14:45,107,1,1
2020-11-27 14:45,107,1,1
2020-11-27 14:45,106,1,1
2020-11-27 14:45,106,1,1
2020-11-27 14:45,106,1,1
2020-11-27 14:45,106,1,1
2020-11-27 14:45,106,1,1
2020-11-27 14:45,107,1,1
2020-11-27 14:45,108,1,1
2020-11-27 14:45,108,1,1
2020-11-27 14:45,109,1,1
2020-11-27 14:45,109,1,1
2020-11-27 14:45,109,1,1
2020-11-27 14:45,110,1,1
2020-11-27 14:45,110,1,1
2020-11-27 14:45,109,1,1
2020-11-27 14:45,108,1,1
2020-11-27 14:45,107,1,1
2020-11-27 14:45,106,1,1
2020-11-27 14:45,105,1,1
2020-11-27 14:45,104,1,1
2020-11-27 14:45,103,1,1
2020-11-27 14:45,103,1,0
