datetime,distance
2020-11-27 14:44:37,
2020-11-27 14:44:38,
2020-11-27 14:44:39,
2020-11-27 14:44:40,57.16
2020-11-27 14:44:41,58.66
2020-11-27 14:44:42,69.5
2020-11-27 14:44:43,74.02
2020-11-27 14:44:44,
2020-11-27 14:44:45,67.44
2020-11-27 14:44:46,63.64
2020-11-27 14:44:47,
2020-11-27 14:44:48,65.49
2020-11-27 14:44:49,
2020-11-27 14:44:50,
2020-11-27 14:44:51,
2020-11-27 14:44:52,74.02
2020-11-27 14:44:53,67.44
2020-11-27 14:44:54,74.02
2020-11-27 14:44:55,69.5
2020-11-27 14:44:56,
2020-11-27 14:44:57,
2020-11-27 14:44:58,
2020-11-27 14:44:59,88.23
2020-11-27 14:45:00,46.38
2020-11-27 14:45:01,41.12
2020-11-27 14:45:02,39.6
2020-11-27 14:45:03,36.87
2020-11-27 14:45:04,33.91
2020-11-27 14:45:05,31.37
2020-11-27 14:45:06,30.0
2020-11-27 14:45:07,27.58
2020-11-27 14:45:08,25.81
2020-11-27 14:45:09,24.85
2020-11-27 14:45:10,24.24
2020-11-27 14:45:11,22.84
2020-11-27 14:45:12,22.57
2020-11-27 14:45:13,22.32
2020-11-27 14:45:14,22.06
2020-11-27 14:45:15,22.32
2020-11-27 14:45:16,21.57
2020-11-27 14:45:17,21.1
2020-11-27 14:45:18,23.38
2020-11-27 14:45:19,22.84
2020-11-27 14:45:20,22.32
2020-11-27 14:45:21,22.84
2020-11-27 14:45:22,22.32
2020-11-27 14:45:23,22.32
2020-11-27 14:45:24,22.84
2020-11-27 14:45:25,23.11
2020-11-27 14:45:26,22.32
2020-11-27 14:45:27,21.82
2020-11-27 14:45:28,22.57
2020-11-27 14:45:29,21.33
2020-11-27 14:45:30,20.0
2020-11-27 14:45:31,20.65
2020-11-27 14:45:32,22.06
2020-11-27 14:45:33,23.11
2020-11-27 14:45:34,22.06
2020-11-27 14:45:35,23.38
2020-11-27 14:45:36,22.57
2020-11-27 14:45:37,23.38
2020-11-27 14:45:38,23.95
2020-11-27 14:45:39,24.24
2020-11-27 14:45:40,25.49
2020-11-27 14:45:41,25.16
2020-11-27 14:45:42,24.85
2020-11-27 14:45:43,25.49
2020-11-27 14:45:44,25.81
2020-11-27 14:45:45,26.15
2020-11-27 14:45:46,25.16
2020-11-27 14:45:47,24.85
2020-11-27 14:45:48,23.66
2020-11-27 14:45:49,23.66
2020-11-27 14:45:50,
2020-11-27 14:45:51,
2020-11-27 14:45:52,20.87
2020-11-27 14:45:53,21.82
2020-11-27 14:45:54,21.1
2020-11-27 14:45:55,21.82
2020-11-27 14:45:56,23.11
2020-11-27 14:45:57,23.11
2020-11-27 14:45:58,21.57
2020-11-27 14:45:59,23.38
2020-11-27 14:46:00,21.33
2020-11-27 14:46:01,21.82
2020-11-27 14:46:02,22.57
2020-11-27 14:46:03,20.87
2020-11-27 14:46:04,22.32
2020-11-27 14:46:05,23.11
2020-11-27 14:46:06,22.06
2020-11-27 14:46:07,22.06
2020-11-27 14:46:08,22.84
2020-11-27 14:46:09,22.57
2020-11-27 14:46:10,22.57
2020-11-27 14:46:11,21.1
2020-11-27 14:46:12,20.42
2020-11-27 14:46:13,20.87
2020-11-27 14:46:14,21.33
2020-11-27 14:46:15,20.65
2020-11-27 14:46:16,20.42
2020-11-27 14:46:17,20.87
2020-11-27 14:46:18,20.0
2020-11-27 14:46:19,20.65
2020-11-27 14:46:20,20.65
2020-11-27 14:46:21,20.42
2020-11-27 14:46:22,20.87
2020-11-27 14:46:23,21.57
2020-11-27 14:46:24,21.82
2020-11-27 14:46:25,22.57
2020-11-27 14:46:26,23.95
2020-11-27 14:46:27,24.24
2020-11-27 14:46:28,24.54
2020-11-27 14:46:29,25.16
2020-11-27 14:46:30,25.49
2020-11-27 14:46:31,26.49
2020-11-27 14:46:32,26.49
2020-11-27 14:46:33,26.49
2020-11-27 14:46:34,26.15
2020-11-27 14:46:35,25.16
