rtime,distance
2020-11-30 21:29:25,
2020-11-30 21:29:26,34.47
2020-11-30 21:29:27,
2020-11-30 21:29:28,
2020-11-30 21:29:29,
2020-11-30 21:29:30,
2020-11-30 21:29:31,14.92
2020-11-30 21:29:32,
2020-11-30 21:29:33,
2020-11-30 21:29:34,
2020-11-30 21:29:35,
2020-11-30 21:29:36,
2020-11-30 21:29:37,
2020-11-30 21:29:38,
2020-11-30 21:29:39,33.91
2020-11-30 21:29:40,31.85
2020-11-30 21:29:41,36.24
2020-11-30 21:29:42,34.47
2020-11-30 21:29:43,
2020-11-30 21:29:44,
2020-11-30 21:29:45,
2020-11-30 21:29:46,
2020-11-30 21:29:47,
2020-11-30 21:29:48,
2020-11-30 21:29:49,
2020-11-30 21:29:50,
2020-11-30 21:29:51,
2020-11-30 21:29:52,
2020-11-30 21:29:53,
2020-11-30 21:29:54,
2020-11-30 21:29:55,
2020-11-30 21:29:56,
2020-11-30 21:29:57,5.99
2020-11-30 21:29:58,6.09
2020-11-30 21:29:59,6.35
2020-11-30 21:30:00,
2020-11-30 21:30:01,7.98
2020-11-30 21:30:02,
2020-11-30 21:30:03,8.95
2020-11-30 21:30:04,7.24
2020-11-30 21:30:05,7.7
2020-11-30 21:30:06,
2020-11-30 21:30:07,12.23
2020-11-30 21:30:08,10.75
2020-11-30 21:30:09,
2020-11-30 21:30:10,
2020-11-30 21:30:11,
2020-11-30 21:30:12,
2020-11-30 21:30:13,13.1
2020-11-30 21:30:14,12.05
2020-11-30 21:30:15,13.96
2020-11-30 21:30:16,
2020-11-30 21:30:17,
2020-11-30 21:30:18,13.1
2020-11-30 21:30:19,16.29
2020-11-30 21:30:20,17.06
2020-11-30 21:30:21,16.44
2020-11-30 21:30:22,12.9
2020-11-30 21:30:23,
2020-11-30 21:30:24,
2020-11-30 21:30:25,9.23
2020-11-30 21:30:26,
2020-11-30 21:30:27,
2020-11-30 21:30:28,15.31
2020-11-30 21:30:29,
2020-11-30 21:30:30,
2020-11-30 21:30:31,13.74
2020-11-30 21:30:32,
2020-11-30 21:30:33,13.96
2020-11-30 21:30:34,
2020-11-30 21:30:35,14.67
2020-11-30 21:30:36,
2020-11-30 21:30:37,
2020-11-30 21:30:38,
2020-11-30 21:30:39,
2020-11-30 21:30:40,
2020-11-30 21:30:41,
2020-11-30 21:30:42,18.25
2020-11-30 21:30:43,19.38
2020-11-30 21:30:44,
2020-11-30 21:30:45,
2020-11-30 21:30:46,
2020-11-30 21:30:47,
2020-11-30 21:30:48,
2020-11-30 21:30:49,
2020-11-30 21:30:50,
2020-11-30 21:30:51,
2020-11-30 21:30:52,
2020-11-30 21:30:53,
2020-11-30 21:30:54,
2020-11-30 21:30:55,
2020-11-30 21:30:56,
2020-11-30 21:30:57,7.88
2020-11-30 21:30:58,
2020-11-30 21:30:59,
2020-11-30 21:31:00,
2020-11-30 21:31:01,
2020-11-30 21:31:02,
2020-11-30 21:31:03,
2020-11-30 21:31:04,
2020-11-30 21:31:05,
2020-11-30 21:31:06,
2020-11-30 21:31:07,
2020-11-30 21:31:08,
2020-11-30 21:31:09,
2020-11-30 21:31:10,35.04
2020-11-30 21:31:11,32.85
2020-11-30 21:31:12,29.57
2020-11-30 21:31:13,25.49
2020-11-30 21:31:14,27.21
2020-11-30 21:31:15,27.21
2020-11-30 21:31:16,26.15
2020-11-30 21:31:17,26.15
2020-11-30 21:31:18,25.81
2020-11-30 21:31:19,25.49
2020-11-30 21:31:20,
2020-11-30 21:31:21,21.57
2020-11-30 21:31:22,22.06
2020-11-30 21:31:23,23.95
2020-11-30 21:31:24,20.65
2020-11-30 21:31:25,18.61
2020-11-30 21:31:26,20.42
2020-11-30 21:31:27,21.82
2020-11-30 21:31:28,20.87
2020-11-30 21:31:29,20.42
2020-11-30 21:31:30,19.79
2020-11-30 21:31:31,22.84
2020-11-30 21:31:32,22.84
2020-11-30 21:31:33,14.55
2020-11-30 21:31:34,24.85
2020-11-30 21:31:35,22.06
2020-11-30 21:31:36,24.85
2020-11-30 21:31:37,26.85
2020-11-30 21:31:38,26.15
2020-11-30 21:31:39,26.15
2020-11-30 21:31:40,28.34
2020-11-30 21:31:41,28.74
2020-11-30 21:31:42,22.84
2020-11-30 21:31:43,31.85
2020-11-30 21:31:44,
2020-11-30 21:31:45,14.08
2020-11-30 21:31:46,29.57
2020-11-30 21:31:47,
2020-11-30 21:31:48,14.8
2020-11-30 21:31:49,19.38
2020-11-30 21:31:50,25.16
2020-11-30 21:31:51,
2020-11-30 21:31:52,28.34
2020-11-30 21:31:53,25.49
2020-11-30 21:31:54,23.66
2020-11-30 21:31:55,27.21
2020-11-30 21:31:56,20.87
2020-11-30 21:31:57,17.22
2020-11-30 21:31:58,20.0
2020-11-30 21:31:59,16.44
2020-11-30 21:32:00,20.65
2020-11-30 21:32:01,23.66
2020-11-30 21:32:02,20.0
2020-11-30 21:32:03,20.65
2020-11-30 21:32:04,21.33
2020-11-30 21:32:05,21.57
2020-11-30 21:32:06,31.85
2020-11-30 21:32:07,23.95
2020-11-30 21:32:08,27.21
2020-11-30 21:32:09,10.11
2020-11-30 21:32:10,32.34
2020-11-30 21:32:11,22.06
2020-11-30 21:32:12,23.11
2020-11-30 21:32:13,23.66
2020-11-30 21:32:14,13.74
2020-11-30 21:32:15,14.55
2020-11-30 21:32:16,23.66
2020-11-30 21:32:17,14.43
2020-11-30 21:32:18,9.53
2020-11-30 21:32:19,13.63
2020-11-30 21:32:20,11.29
2020-11-30 21:32:21,27.58
2020-11-30 21:32:22,26.85
2020-11-30 21:32:23,25.49
2020-11-30 21:32:24,26.15
2020-11-30 21:32:25,26.85
2020-11-30 21:32:26,28.74
2020-11-30 21:32:27,27.58
2020-11-30 21:32:28,27.21
2020-11-30 21:32:29,27.96
2020-11-30 21:32:30,
2020-11-30 21:32:31,
2020-11-30 21:32:32,28.34
2020-11-30 21:32:33,27.58
2020-11-30 21:32:34,29.15
2020-11-30 21:32:35,27.58
2020-11-30 21:32:36,27.58
2020-11-30 21:32:37,27.21
2020-11-30 21:32:38,27.21
2020-11-30 21:32:39,24.24
2020-11-30 21:32:40,24.24
2020-11-30 21:32:41,24.85
2020-11-30 21:32:42,26.85
2020-11-30 21:32:43,28.74
2020-11-30 21:32:44,30.9
2020-11-30 21:32:45,31.37
2020-11-30 21:32:46,32.34
2020-11-30 21:32:47,30.45
2020-11-30 21:32:48,30.45
2020-11-30 21:32:49,23.11
2020-11-30 21:32:50,21.1
2020-11-30 21:32:51,26.49
2020-11-30 21:32:52,28.34
2020-11-30 21:32:53,26.85
2020-11-30 21:32:54,26.49
2020-11-30 21:32:55,28.34
2020-11-30 21:32:56,24.24
2020-11-30 21:32:57,22.57
2020-11-30 21:32:58,22.32
2020-11-30 21:32:59,23.11
2020-11-30 21:33:00,23.11
2020-11-30 21:33:01,22.06
2020-11-30 21:33:02,20.42
2020-11-30 21:33:03,22.06
2020-11-30 21:33:04,22.57
2020-11-30 21:33:05,22.32
2020-11-30 21:33:06,23.66
2020-11-30 21:33:07,22.57
2020-11-30 21:33:08,24.24
2020-11-30 21:33:09,17.89
2020-11-30 21:33:10,19.18
2020-11-30 21:33:11,
2020-11-30 21:33:12,
2020-11-30 21:33:13,20.21
2020-11-30 21:33:14,20.65
2020-11-30 21:33:15,19.38
2020-11-30 21:33:16,19.18
2020-11-30 21:33:17,18.99
2020-11-30 21:33:18,16.9
2020-11-30 21:33:19,17.55
2020-11-30 21:33:20,15.72
2020-11-30 21:33:21,
2020-11-30 21:33:22,
2020-11-30 21:33:23,22.57
2020-11-30 21:33:24,7.57
2020-11-30 21:33:25,7.08
2020-11-30 21:33:26,5.05
2020-11-30 21:33:27,
2020-11-30 21:33:28,2.45
2020-11-30 21:33:29,
2020-11-30 21:33:30,26.49
2020-11-30 21:33:31,16.29
2020-11-30 21:33:32,11.05
2020-11-30 21:33:33,20.87
2020-11-30 21:33:34,19.38
2020-11-30 21:33:35,20.87
