rtime,lkas,ldws,distance,speed,latitude,longtitude
2020-11-27 14:44:37,1,1,,109,37.41599016,127.0842237
2020-11-27 14:44:38,1,1,,109,37.41577919,127.0844379
2020-11-27 14:44:39,1,1,,109,37.41557537,127.0846456
2020-11-27 14:44:40,1,1,57.16,109,37.41536667,127.0848563
2020-11-27 14:44:41,1,1,58.66,109,37.41515711,127.08506640000002
2020-11-27 14:44:42,1,1,69.5,109,37.41494552,127.0852808
2020-11-27 14:44:43,1,1,74.02,109,37.41472826,127.0855001
2020-11-27 14:44:44,1,1,,109,37.41452192,127.0857046
2020-11-27 14:44:45,1,1,67.44,109,37.4143102,127.0859167
2020-11-27 14:44:46,1,1,63.64,109,37.41410753,127.0861235
2020-11-27 14:44:47,1,1,,109,37.41391118,127.0863275
2020-11-27 14:44:48,1,1,65.49,109,37.41371368,127.08653429999998
2020-11-27 14:44:49,1,1,,109,37.41350917,127.0867391
2020-11-27 14:44:50,1,1,,110,37.41329622,127.0869426
2020-11-27 14:44:51,1,1,,111,37.41308405,127.0871608
2020-11-27 14:44:52,1,1,74.02,116,37.41286395,127.0873871
2020-11-27 14:44:53,1,1,67.44,118,37.4126449,127.0876131
2020-11-27 14:44:54,1,1,74.02,121,37.41240999,127.0878539
2020-11-27 14:44:55,1,1,69.5,123,37.41217903,127.0880979
2020-11-27 14:44:56,1,1,,123,37.41194991,127.08834009999998
2020-11-27 14:44:57,1,1,,124,37.41172046,127.0885797
2020-11-27 14:44:58,1,1,,124,37.41149399,127.0888146
2020-11-27 14:44:59,1,1,88.23,124,37.4112667,127.0890517
2020-11-27 14:45:00,1,1,46.38,123,37.41104334,127.0892842
2020-11-27 14:45:01,1,1,41.12,122,37.41081486,127.089522
2020-11-27 14:45:02,1,1,39.6,120,37.41059031,127.0897537
2020-11-27 14:45:03,1,1,36.87,118,37.41036616,127.0899747
2020-11-27 14:45:04,1,1,33.91,117,37.41014184,127.0901931
2020-11-27 14:45:05,1,1,31.37,116,37.40991844,127.0904096
2020-11-27 14:45:06,1,1,30.0,115,37.40969717,127.09062649999998
2020-11-27 14:45:07,1,1,27.58,114,37.40947933,127.090843
2020-11-27 14:45:08,1,1,25.81,112,37.40926437,127.0910545
2020-11-27 14:45:09,1,1,24.85,111,37.40904959,127.0912704
2020-11-27 14:45:10,1,1,24.24,110,37.40883346,127.0914839
2020-11-27 14:45:11,1,1,22.84,110,37.40861766,127.0916949
2020-11-27 14:45:12,1,1,22.57,109,37.40840108,127.0919018
2020-11-27 14:45:13,1,1,22.32,109,37.4081866,127.09211
2020-11-27 14:45:14,1,1,22.06,109,37.4079786,127.0923199
2020-11-27 14:45:15,1,1,22.32,109,37.4077752,127.092529
2020-11-27 14:45:16,1,1,21.57,109,37.40757497,127.0927349
2020-11-27 14:45:17,1,1,21.1,108,37.40737681,127.0929394
2020-11-27 14:45:18,1,1,23.38,108,37.40717523,127.0931475
2020-11-27 14:45:19,1,1,22.84,107,37.40697955,127.093357
2020-11-27 14:45:20,1,1,22.32,107,37.40677274,127.09356499999998
2020-11-27 14:45:21,1,1,22.84,107,37.40657126,127.0937668
2020-11-27 14:45:22,1,1,22.32,107,37.4063741,127.0939713
2020-11-27 14:45:23,1,1,22.32,106,37.40616829,127.09418365
2020-11-27 14:45:24,1,1,22.84,106,37.40596248,127.094396
2020-11-27 14:45:25,1,1,23.11,106,37.40575099,127.09461536
2020-11-27 14:45:26,1,1,22.32,106,37.4055395,127.09483472000001
2020-11-27 14:45:27,1,1,21.82,107,37.40532801,127.09505408
2020-11-27 14:45:28,1,1,22.57,107,37.40511652,127.09527344
2020-11-27 14:45:29,1,1,21.33,107,37.40490503,127.0954928
2020-11-27 14:45:30,1,1,20.0,107,37.40469775,127.095714
2020-11-27 14:45:31,1,1,20.65,107,37.4045296,127.095905
2020-11-27 14:45:32,1,1,22.06,107,37.40435946,127.0960908
2020-11-27 14:45:33,1,1,23.11,107,37.40416443,127.0962977
2020-11-27 14:45:34,1,1,22.06,106,37.40396228,127.0965075
2020-11-27 14:45:35,1,1,23.38,106,37.40375456,127.0967223
2020-11-27 14:45:36,1,1,22.57,106,37.40355661666667,127.09693173333334
2020-11-27 14:45:37,1,1,23.38,106,37.40335867333334,127.09714116666667
2020-11-27 14:45:38,1,1,23.95,106,37.403160729999996,127.0973506
2020-11-27 14:45:39,1,1,24.24,107,37.40296278666666,127.09756003333334
2020-11-27 14:45:40,1,1,25.49,108,37.40276484333333,127.09776946666668
2020-11-27 14:45:41,1,1,25.16,108,37.4025669,127.09797890000002
2020-11-27 14:45:42,1,1,24.85,109,37.40236079,127.0981882
2020-11-27 14:45:43,1,1,25.49,109,37.40213943,127.0984061
2020-11-27 14:45:44,1,1,25.81,109,37.40193018,127.0986165
2020-11-27 14:45:45,1,1,26.15,110,37.40172644,127.09883229999998
2020-11-27 14:45:46,1,1,25.16,110,37.40152292,127.09904679999998
2020-11-27 14:45:47,1,1,24.85,109,37.40132372,127.0992534
2020-11-27 14:45:48,1,1,23.66,108,37.40110701,127.0994365
2020-11-27 14:45:49,1,1,23.66,107,37.40088169,127.0996031
2020-11-27 14:45:50,1,1,,106,37.40066213,127.0997548
2020-11-27 14:45:51,1,1,,105,37.40043542,127.09988359999998
2020-11-27 14:45:52,1,1,20.87,104,37.40018712,127.0999993
2020-11-27 14:45:53,1,1,21.82,103,37.3999349,127.1000989
2020-11-27 14:45:54,0,1,21.1,103,37.39967966,127.1001838
