datetime,distance
2020-11-27 15:43:05,41.91
2020-11-27 15:43:06,43.6
2020-11-27 15:43:07,50.65
2020-11-27 15:43:08,26.15
2020-11-27 15:43:09,27.21
2020-11-27 15:43:10,26.15
2020-11-27 15:43:11,27.96
2020-11-27 15:43:12,28.34
2020-11-27 15:43:13,27.21
2020-11-27 15:43:14,26.49
2020-11-27 15:43:15,26.49
2020-11-27 15:43:16,25.49
2020-11-27 15:43:17,26.49
2020-11-27 15:43:18,24.85
2020-11-27 15:43:19,27.21
2020-11-27 15:43:20,26.49
2020-11-27 15:43:21,27.21
2020-11-27 15:43:22,28.74
2020-11-27 15:43:23,30.0
2020-11-27 15:43:24,30.0
2020-11-27 15:43:25,31.37
2020-11-27 15:43:26,30.0
2020-11-27 15:43:27,30.0
2020-11-27 15:43:28,32.34
2020-11-27 15:43:29,30.9
2020-11-27 15:43:30,47.38
2020-11-27 15:43:31,
2020-11-27 15:43:32,
2020-11-27 15:43:33,32.34
2020-11-27 15:43:34,33.37
2020-11-27 15:43:35,35.63
2020-11-27 15:43:36,46.38
2020-11-27 15:43:37,
2020-11-27 15:43:38,
2020-11-27 15:43:39,
2020-11-27 15:43:40,
2020-11-27 15:43:41,
2020-11-27 15:43:42,
2020-11-27 15:43:43,
2020-11-27 15:43:44,
2020-11-27 15:43:45,
2020-11-27 15:43:46,
2020-11-27 15:43:47,32.85
2020-11-27 15:43:48,33.91
2020-11-27 15:43:49,
2020-11-27 15:43:50,
2020-11-27 15:43:51,
2020-11-27 15:43:52,
2020-11-27 15:43:53,
2020-11-27 15:43:54,
2020-11-27 15:43:55,
2020-11-27 15:43:56,27.58
2020-11-27 15:43:57,26.15
2020-11-27 15:43:58,27.21
2020-11-27 15:43:59,27.58
2020-11-27 15:44:00,28.34
2020-11-27 15:44:01,29.15
2020-11-27 15:44:02,29.15
2020-11-27 15:44:03,30.9
2020-11-27 15:44:04,28.74
2020-11-27 15:44:05,31.37
2020-11-27 15:44:06,79.13
2020-11-27 15:44:07,
2020-11-27 15:44:08,65.49
2020-11-27 15:44:09,40.35
2020-11-27 15:44:10,33.37
2020-11-27 15:44:11,38.19
2020-11-27 15:44:12,36.24
2020-11-27 15:44:13,38.19
2020-11-27 15:44:14,38.89
2020-11-27 15:44:15,36.87
2020-11-27 15:44:16,35.63
2020-11-27 15:44:17,33.37
2020-11-27 15:44:18,30.0
2020-11-27 15:44:19,32.85
2020-11-27 15:44:20,35.63
2020-11-27 15:44:21,36.87
2020-11-27 15:44:22,35.04
2020-11-27 15:44:23,35.04
2020-11-27 15:44:24,35.04
2020-11-27 15:44:25,35.04
2020-11-27 15:44:26,33.37
2020-11-27 15:44:27,32.34
2020-11-27 15:44:28,37.52
2020-11-27 15:44:29,30.9
2020-11-27 15:44:30,30.45
2020-11-27 15:44:31,30.0
2020-11-27 15:44:32,28.34
2020-11-27 15:44:33,27.58
2020-11-27 15:44:34,27.96
2020-11-27 15:44:35,27.58
2020-11-27 15:44:36,27.58
2020-11-27 15:44:37,
2020-11-27 15:44:38,
2020-11-27 15:44:39,
2020-11-27 15:44:40,
2020-11-27 15:44:41,24.24
2020-11-27 15:44:42,26.85
2020-11-27 15:44:43,27.21
2020-11-27 15:44:44,28.34
2020-11-27 15:44:45,27.58
2020-11-27 15:44:46,29.57
2020-11-27 15:44:47,31.85
2020-11-27 15:44:48,31.37
2020-11-27 15:44:49,33.37
2020-11-27 15:44:50,31.85
2020-11-27 15:44:51,33.37
2020-11-27 15:44:52,32.34
2020-11-27 15:44:53,33.91
2020-11-27 15:44:54,
2020-11-27 15:44:55,
2020-11-27 15:44:56,
2020-11-27 15:44:57,
2020-11-27 15:44:58,34.47
2020-11-27 15:44:59,34.47
2020-11-27 15:45:00,33.37
2020-11-27 15:45:01,35.04
2020-11-27 15:45:02,32.85
2020-11-27 15:45:03,32.34
2020-11-27 15:45:04,32.85
2020-11-27 15:45:05,15.45
2020-11-27 15:45:06,15.45
2020-11-27 15:45:07,17.06
2020-11-27 15:45:08,18.61
2020-11-27 15:45:09,18.8
2020-11-27 15:45:10,28.74
2020-11-27 15:45:11,28.34
2020-11-27 15:45:12,28.34
2020-11-27 15:45:13,26.49
2020-11-27 15:45:14,30.0
2020-11-27 15:45:15,28.34
2020-11-27 15:45:16,27.21
2020-11-27 15:45:17,26.49
2020-11-27 15:45:18,27.96
2020-11-27 15:45:19,27.21
2020-11-27 15:45:20,28.34
2020-11-27 15:45:21,26.85
2020-11-27 15:45:22,27.96
2020-11-27 15:45:23,29.57
2020-11-27 15:45:24,30.45
2020-11-27 15:45:25,30.0
2020-11-27 15:45:26,29.15
2020-11-27 15:45:27,27.58
2020-11-27 15:45:28,26.85
