rtime,lkas,ldws,distance,speed,latitude,longtitude
2020-12-02 08:58:22,1,1,29.57,87,37.41305829,127.0871182
2020-12-02 08:58:23,1,1,29.57,88,37.41291371,127.0872762
2020-12-02 08:58:24,1,1,32.34,89,37.41273127,127.0874557
2020-12-02 08:58:25,1,1,31.37,92,37.41256329,127.0876251
2020-12-02 08:58:26,1,1,36.87,95,37.41238944,127.08780149999998
2020-12-02 08:58:27,1,1,38.19,97,37.41223524,127.0879821
2020-12-02 08:58:28,1,1,40.35,98,37.41205031,127.0881715
2020-12-02 08:58:29,1,1,39.6,100,37.41186321,127.0883618
2020-12-02 08:58:30,1,1,38.89,101,37.41167387,127.0885575
2020-12-02 08:58:31,1,1,38.89,103,37.41148,127.0887549
2020-12-02 08:58:32,1,1,37.52,104,37.4112821,127.0889561
2020-12-02 08:58:33,1,1,38.19,104,37.41108705,127.0891547
2020-12-02 08:58:34,1,1,35.63,105,37.41087277,127.089343
2020-12-02 08:58:35,1,1,35.63,105,37.41067978,127.08954950000002
2020-12-02 08:58:36,1,1,34.47,104,37.41048625,127.0897559
2020-12-02 08:58:37,1,1,30.9,104,37.41030277,127.0899674
2020-12-02 08:58:38,1,1,32.34,103,37.41009503,127.0901604
2020-12-02 08:58:39,1,1,33.91,104,37.40989883,127.090358
2020-12-02 08:58:40,1,1,35.63,105,37.40970429,127.090555
2020-12-02 08:58:41,1,1,32.34,105,37.40950619,127.0907449
2020-12-02 08:58:42,1,1,32.34,106,37.40929232,127.0909271
2020-12-02 08:58:43,1,1,31.85,106,37.40909724,127.0911741
2020-12-02 08:58:44,1,1,30.9,105,37.40888147,127.0913216
2020-12-02 08:58:45,1,1,30.9,102,37.40869567,127.0915885
2020-12-02 08:58:46,1,1,30.0,102,37.408493,127.091726
2020-12-02 08:58:47,1,1,30.45,102,37.40830211,127.0919307
2020-12-02 08:58:48,1,1,29.57,102,37.40810479,127.0921288
2020-12-02 08:58:49,1,1,29.57,101,37.40791365,127.0923863
2020-12-02 08:58:50,1,1,30.9,99,37.40772587,127.0925714
2020-12-02 08:58:51,1,1,30.45,98,37.40751183,127.0926965
2020-12-02 08:58:52,1,1,30.45,98,37.40734835,127.0929451
2020-12-02 08:58:53,1,1,31.37,97,37.40716273,127.09312479999998
2020-12-02 08:58:54,1,1,31.85,97,37.40696626,127.093258
2020-12-02 08:58:55,1,1,33.37,97,37.40679544,127.0934872
2020-12-02 08:58:56,1,1,11.79,97,37.40660733,127.0936764
2020-12-02 08:58:57,1,1,34.47,98,37.40642122,127.0938648
2020-12-02 08:58:58,1,1,7.53,99,37.40623532,127.0940548
2020-12-02 08:58:59,1,1,36.87,101,37.40604835,127.0942444
2020-12-02 08:59:00,1,1,36.24,10,37.40583178,127.0943991
2020-12-02 08:59:01,1,1,37.52,105,37.40567495,127.0946308
2020-12-02 08:59:02,1,1,37.52,107,37.40548781,127.0948223
2020-12-02 08:59:03,1,1,38.19,108,37.40526405,127.0950101
2020-12-02 08:59:04,1,1,36.24,109,37.40506433,127.09522549999998
2020-12-02 08:59:05,1,1,35.63,109,37.40485631,127.0954468
2020-12-02 08:59:06,1,1,35.63,109,37.40465326,127.0956708
2020-12-02 08:59:07,1,1,34.47,109,37.40444584,127.0958899
2020-12-02 08:59:08,1,1,33.37,108,37.40423776,127.0961044
2020-12-02 08:59:09,1,1,32.85,106,37.40403011,127.0963133
2020-12-02 08:59:10,1,1,33.37,105,37.40384626,127.0965064
2020-12-02 08:59:11,1,1,33.37,105,37.40364582,127.096715
2020-12-02 08:59:12,1,1,33.37,105,37.40344901,127.0969176
2020-12-02 08:59:13,1,1,33.91,105,37.40325546,127.0971186
2020-12-02 08:59:14,1,1,34.47,105,37.40302943,127.09735729999998
2020-12-02 08:59:15,1,1,30.9,105,37.40286049,127.0975313
2020-12-02 08:59:16,1,1,32.85,106,37.40262893,127.097776
2020-12-02 08:59:17,1,1,34.47,106,37.40242869,127.0979892
2020-12-02 08:59:18,1,1,35.04,107,37.40222814,127.0982032
2020-12-02 08:59:19,1,1,33.91,106,37.40202635,127.0984137
2020-12-02 08:59:20,1,1,33.37,106,37.40181895,127.0986159
2020-12-02 08:59:21,1,1,30.45,104,37.40164651,127.0988124
2020-12-02 08:59:22,1,1,32.85,103,37.40144573,127.099025
2020-12-02 08:59:23,1,1,30.45,101,37.4012479,127.0992271
2020-12-02 08:59:24,0,1,29.57,100,37.40104998,127.09941709999998
2020-12-02 08:59:25,1,1,29.57,100,37.40079121,127.0995579
2020-12-02 08:59:26,1,1,48.43,100,37.40064161,127.0997432
2020-12-02 08:59:27,1,1,48.43,100,37.40035946,127.0998514
2020-12-02 08:59:28,1,1,27.96,99,37.40013618,127.0999669
2020-12-02 08:59:29,1,1,30.9,99,37.39996985,127.1001098
2020-12-02 08:59:30,1,1,30.45,188,37.39973275,127.1001961
2020-12-02 08:59:31,1,1,31.85,100,37.39949318,127.1002713
2020-12-02 08:59:32,1,1,31.85,99,37.3992529,127.1003323
2020-12-02 08:59:33,1,1,32.85,100,37.3990051,127.1003853
2020-12-02 08:59:34,1,1,34.47,101,37.39869859,127.1003811
