rtime,distance
2020-12-02 09:40:26,
2020-12-02 09:40:27,
2020-12-02 09:40:28,
2020-12-02 09:40:29,
2020-12-02 09:40:30,
2020-12-02 09:40:31,
2020-12-02 09:40:32,
2020-12-02 09:40:33,
2020-12-02 09:40:34,
2020-12-02 09:40:35,
2020-12-02 09:40:36,
2020-12-02 09:40:37,
2020-12-02 09:40:38,54.38
2020-12-02 09:40:39,60.24
2020-12-02 09:40:40,54.38
2020-12-02 09:40:41,
2020-12-02 09:40:42,
2020-12-02 09:40:43,63.64
2020-12-02 09:40:44,60.24
2020-12-02 09:40:45,71.69
2020-12-02 09:40:46,71.69
2020-12-02 09:40:47,74.02
2020-12-02 09:40:48,63.64
2020-12-02 09:40:49,65.49
2020-12-02 09:40:50,58.66
2020-12-02 09:40:51,61.89
2020-12-02 09:40:52,61.89
2020-12-02 09:40:53,71.69
2020-12-02 09:40:54,
2020-12-02 09:40:55,
2020-12-02 09:40:56,
2020-12-02 09:40:57,
2020-12-02 09:40:58,
2020-12-02 09:40:59,
2020-12-02 09:41:00,
2020-12-02 09:41:01,65.49
2020-12-02 09:41:02,
2020-12-02 09:41:03,
2020-12-02 09:41:04,
2020-12-02 09:41:05,41.12
2020-12-02 09:41:06,43.6
2020-12-02 09:41:07,39.6
2020-12-02 09:41:08,
2020-12-02 09:41:09,36.87
2020-12-02 09:41:10,38.19
2020-12-02 09:41:11,35.63
2020-12-02 09:41:12,38.89
2020-12-02 09:41:13,33.91
2020-12-02 09:41:14,33.37
2020-12-02 09:41:15,35.04
2020-12-02 09:41:16,33.37
2020-12-02 09:41:17,11.45
2020-12-02 09:41:18,30.45
2020-12-02 09:41:19,32.85
2020-12-02 09:41:20,33.91
2020-12-02 09:41:21,
2020-12-02 09:41:22,29.57
2020-12-02 09:41:23,30.0
2020-12-02 09:41:24,31.85
2020-12-02 09:41:25,32.34
2020-12-02 09:41:26,31.85
2020-12-02 09:41:27,31.85
2020-12-02 09:41:28,29.15
2020-12-02 09:41:29,30.45
2020-12-02 09:41:30,33.37
2020-12-02 09:41:31,33.91
2020-12-02 09:41:32,36.87
2020-12-02 09:41:33,31.85
2020-12-02 09:41:34,31.85
2020-12-02 09:41:35,30.45
2020-12-02 09:41:36,33.37
2020-12-02 09:41:37,28.74
2020-12-02 09:41:38,33.91
2020-12-02 09:41:39,32.34
2020-12-02 09:41:40,35.04
2020-12-02 09:41:41,33.37
2020-12-02 09:41:42,35.63
2020-12-02 09:41:43,33.91
2020-12-02 09:41:44,36.87
2020-12-02 09:41:45,37.52
2020-12-02 09:41:46,33.37
2020-12-02 09:41:47,30.9
2020-12-02 09:41:48,36.24
2020-12-02 09:41:49,35.63
2020-12-02 09:41:50,31.85
2020-12-02 09:41:51,33.91
2020-12-02 09:41:52,34.47
2020-12-02 09:41:53,36.87
2020-12-02 09:41:54,35.63
2020-12-02 09:41:55,33.91
2020-12-02 09:41:56,32.85
2020-12-02 09:41:57,32.34
2020-12-02 09:41:58,33.91
2020-12-02 09:41:59,35.04
2020-12-02 09:42:00,31.37
2020-12-02 09:42:01,33.91
2020-12-02 09:42:02,33.37
2020-12-02 09:42:03,32.34
2020-12-02 09:42:04,33.37
2020-12-02 09:42:05,35.63
2020-12-02 09:42:06,36.24
2020-12-02 09:42:07,35.63
2020-12-02 09:42:08,33.37
2020-12-02 09:42:09,34.47
2020-12-02 09:42:10,35.63
2020-12-02 09:42:11,37.52
2020-12-02 09:42:12,38.19
2020-12-02 09:42:13,39.6
2020-12-02 09:42:14,41.91
2020-12-02 09:42:15,44.49
2020-12-02 09:42:16,44.49
2020-12-02 09:42:17,43.6
2020-12-02 09:42:18,46.38
2020-12-02 09:42:19,47.38
2020-12-02 09:42:20,50.65
2020-12-02 09:42:21,47.38
2020-12-02 09:42:22,48.43
2020-12-02 09:42:23,48.43
2020-12-02 09:42:24,49.52
2020-12-02 09:42:25,51.84
2020-12-02 09:42:26,48.43
2020-12-02 09:42:27,49.52
2020-12-02 09:42:28,53.08
2020-12-02 09:42:29,55.74
2020-12-02 09:42:30,54.38
2020-12-02 09:42:31,55.74
2020-12-02 09:42:32,53.08
2020-12-02 09:42:33,57.16
2020-12-02 09:42:34,57.16
2020-12-02 09:42:35,54.38
2020-12-02 09:42:36,53.08
2020-12-02 09:42:37,49.52
2020-12-02 09:42:38,46.38
2020-12-02 09:42:39,55.74
2020-12-02 09:42:40,63.64
2020-12-02 09:42:41,58.66
2020-12-02 09:42:42,53.08
2020-12-02 09:42:43,44.49
2020-12-02 09:42:44,43.6
2020-12-02 09:42:45,39.6
2020-12-02 09:42:46,37.52
2020-12-02 09:42:47,35.63
2020-12-02 09:42:48,33.91
2020-12-02 09:42:49,31.37
2020-12-02 09:42:50,30.45
2020-12-02 09:42:51,27.58
2020-12-02 09:42:52,26.15
2020-12-02 09:42:53,26.15
2020-12-02 09:42:54,25.81
2020-12-02 09:42:55,24.24
2020-12-02 09:42:56,24.24
2020-12-02 09:42:57,24.54
2020-12-02 09:42:58,24.54
2020-12-02 09:42:59,23.66
2020-12-02 09:43:00,23.66
2020-12-02 09:43:01,22.06
2020-12-02 09:43:02,22.06
2020-12-02 09:43:03,21.82
2020-12-02 09:43:04,22.32
2020-12-02 09:43:05,22.84
2020-12-02 09:43:06,23.11
2020-12-02 09:43:07,22.06
2020-12-02 09:43:08,22.84
2020-12-02 09:43:09,23.38
2020-12-02 09:43:10,23.11
2020-12-02 09:43:11,23.38
2020-12-02 09:43:12,22.57
2020-12-02 09:43:13,22.06
2020-12-02 09:43:14,22.84
2020-12-02 09:43:15,23.95
2020-12-02 09:43:16,23.11
2020-12-02 09:43:17,23.95
2020-12-02 09:43:18,24.85
2020-12-02 09:43:19,24.54
2020-12-02 09:43:20,24.54
2020-12-02 09:43:21,25.16
2020-12-02 09:43:22,24.24
2020-12-02 09:43:23,25.49
2020-12-02 09:43:24,26.15
2020-12-02 09:43:25,26.49
2020-12-02 09:43:26,12.14
2020-12-02 09:43:27,26.15
2020-12-02 09:43:28,25.49
2020-12-02 09:43:29,26.15
2020-12-02 09:43:30,27.21
2020-12-02 09:43:31,27.21
2020-12-02 09:43:32,27.58
2020-12-02 09:43:33,26.49
2020-12-02 09:43:34,24.85
2020-12-02 09:43:35,25.81
2020-12-02 09:43:36,26.15
2020-12-02 09:43:37,24.54
2020-12-02 09:43:38,23.95
2020-12-02 09:43:39,23.95
2020-12-02 09:43:40,24.24
2020-12-02 09:43:41,24.54
2020-12-02 09:43:42,25.49
2020-12-02 09:43:43,25.49
2020-12-02 09:43:44,24.54
2020-12-02 09:43:45,25.16
2020-12-02 09:43:46,25.16
2020-12-02 09:43:47,24.85
2020-12-02 09:43:48,24.85
2020-12-02 09:43:49,25.49
2020-12-02 09:43:50,23.95
2020-12-02 09:43:51,23.66
2020-12-02 09:43:52,23.38
2020-12-02 09:43:53,24.85
2020-12-02 09:43:54,24.24
2020-12-02 09:43:55,26.85
2020-12-02 09:43:56,26.49
2020-12-02 09:43:57,27.21
2020-12-02 09:43:58,27.58
2020-12-02 09:43:59,27.96
2020-12-02 09:44:00,29.57
2020-12-02 09:44:01,27.96
2020-12-02 09:44:02,26.85
2020-12-02 09:44:03,28.74
2020-12-02 09:44:04,29.57
2020-12-02 09:44:05,28.34
2020-12-02 09:44:06,26.49
2020-12-02 09:44:07,27.21
2020-12-02 09:44:08,26.85
2020-12-02 09:44:09,26.49
2020-12-02 09:44:10,26.15
2020-12-02 09:44:11,26.49
2020-12-02 09:44:12,25.49
2020-12-02 09:44:13,24.54
2020-12-02 09:44:14,25.49
2020-12-02 09:44:15,
2020-12-02 09:44:16,
2020-12-02 09:44:17,
2020-12-02 09:44:18,
2020-12-02 09:44:19,
2020-12-02 09:44:20,
2020-12-02 09:44:21,
2020-12-02 09:44:22,58.66
2020-12-02 09:44:23,54.38
2020-12-02 09:44:24,44.49
2020-12-02 09:44:25,46.38
2020-12-02 09:44:26,41.91
2020-12-02 09:44:27,38.19
2020-12-02 09:44:28,34.47
2020-12-02 09:44:29,33.91
2020-12-02 09:44:30,
2020-12-02 09:44:31,
2020-12-02 09:44:32,
2020-12-02 09:44:33,
2020-12-02 09:44:34,81.96
2020-12-02 09:44:35,
2020-12-02 09:44:36,
2020-12-02 09:44:37,
2020-12-02 09:44:38,
2020-12-02 09:44:39,
2020-12-02 09:44:40,
2020-12-02 09:44:41,46.38
2020-12-02 09:44:42,63.64
2020-12-02 09:44:43,
2020-12-02 09:44:44,69.5
2020-12-02 09:44:45,55.74
2020-12-02 09:44:46,58.66
2020-12-02 09:44:47,65.49
2020-12-02 09:44:48,69.5
2020-12-02 09:44:49,57.16
2020-12-02 09:44:50,58.66
2020-12-02 09:44:51,61.89
2020-12-02 09:44:52,
2020-12-02 09:44:53,65.49
2020-12-02 09:44:54,71.69
2020-12-02 09:44:55,
2020-12-02 09:44:56,53.08
2020-12-02 09:44:57,69.5
2020-12-02 09:44:58,
2020-12-02 09:44:59,
2020-12-02 09:45:00,44.49
2020-12-02 09:45:01,51.84
2020-12-02 09:45:02,40.35
2020-12-02 09:45:03,69.5
2020-12-02 09:45:04,55.74
2020-12-02 09:45:05,61.89
2020-12-02 09:45:06,57.16
2020-12-02 09:45:07,45.42
2020-12-02 09:45:08,57.16
2020-12-02 09:45:09,60.24
2020-12-02 09:45:10,
2020-12-02 09:45:11,
2020-12-02 09:45:12,
2020-12-02 09:45:13,
2020-12-02 09:45:14,
2020-12-02 09:45:15,
2020-12-02 09:45:16,
2020-12-02 09:45:17,
