rtime,provider,device_name,latitude,longtitude,altitude,speed,accuracy,time_utc
2020-12-02 09:40:26,gps,device0,37.01274438,127.1464882,69.26630643,98.012024,4,1.61E+12
2020-12-02 09:40:27,gps,device0,37.01297091,127.146367,69.42943586,98.26535,4,1.61E+12
2020-12-02 09:40:28,gps,device0,37.01320073,127.1462543,69.63793919,99.497375,4,1.61E+12
2020-12-02 09:40:29,gps,device0,37.01343096,127.1461383,69.8670065,98.771835,6,1.61E+12
2020-12-02 09:40:30,gps,device0,37.01365814,127.1460204,70.0248087,98.296616,6,1.61E+12
2020-12-02 09:40:31,gps,device0,37.01388519,127.1459019,70.16784045,98.09302,6,1.61E+12
2020-12-02 09:40:32,gps,device0,37.01411366,127.1457826,70.23747272,98.12344,6,1.61E+12
2020-12-02 09:40:33,gps,device0,37.01434135,127.1456607,70.32884222,98.27398,4,1.61E+12
2020-12-02 09:40:34,gps,device0,37.01457083,127.1455428,70.11986942,98.0634,4,1.61E+12
2020-12-02 09:40:35,gps,device0,37.01479808,127.1454228,69.98879775,98.09924,4,1.61E+12
2020-12-02 09:40:36,gps,device0,37.01502517,127.1453005,69.91312674,98.74215,4,1.61E+12
2020-12-02 09:40:37,gps,device0,37.01525141,127.1451769,69.80010639,98.600266,4,1.61E+12
2020-12-02 09:40:38,gps,device0,37.01547692,127.1450505,69.76950672,98.543594,4,1.61E+12
2020-12-02 09:40:39,gps,device0,37.01570373,127.1449267,69.73765314,98.563965,4,1.61E+12
2020-12-02 09:40:40,gps,device0,37.01592971,127.1448036,69.69384824,98.58334,4,1.61E+12
2020-12-02 09:40:41,gps,device0,37.01615495,127.1446823,69.64182995,98.4772,4,1.61E+12
2020-12-02 09:40:42,gps,device0,37.01638128,127.1445609,69.59243282,98.63558,4,1.61E+12
2020-12-02 09:40:43,gps,device0,37.01660796,127.1444405,69.56993985,98.68179,4,1.61E+12
2020-12-02 09:40:44,gps,device0,37.01683621,127.1443249,69.51291119,98.56117,4,1.61E+12
2020-12-02 09:40:45,gps,device0,37.01706518,127.1442146,69.49351522,98.45976,4,1.61E+12
2020-12-02 09:40:46,gps,device0,37.01729456,127.1441076,69.50513667,98.596085,4,1.61E+12
2020-12-02 09:40:47,gps,device0,37.0175264,127.144006,69.52487394,98.44759,4,1.61E+12
2020-12-02 09:40:48,gps,device0,37.01775882,127.1439127,69.58178447,98.20843,4,1.61E+12
2020-12-02 09:40:49,gps,device0,37.01799257,127.1438236,69.64654653,98.20353,4,1.61E+12
2020-12-02 09:40:50,gps,device0,37.01822703,127.1437379,69.69899772,98.167656,4,1.61E+12
2020-12-02 09:40:51,gps,device0,37.01846548,127.1436568,69.73172242,100.61852,4,1.61E+12
2020-12-02 09:40:52,gps,device0,37.01870968,127.1435768,69.72682956,102.53042,4,1.61E+12
2020-12-02 09:40:53,gps,device0,37.01896011,127.1435014,69.73413373,104.357155,4,1.61E+12
2020-12-02 09:40:54,gps,device0,37.01921498,127.1434346,69.72910257,105.8875,4,1.61E+12
2020-12-02 09:40:55,gps,device0,37.01947029,127.1433603,69.67532829,105.35033,4,1.61E+12
2020-12-02 09:40:56,gps,device0,37.01972782,127.1432893,69.52815554,107.30281,4,1.61E+12
2020-12-02 09:40:57,gps,device0,37.01998755,127.1432275,69.34912635,104.74048,6,1.61E+12
2020-12-02 09:40:58,gps,device0,37.0202444,127.1431638,69.14734513,107.24742,6,1.61E+12
2020-12-02 09:40:59,gps,device0,37.02050599,127.1430976,68.93100544,108.302,6,1.61E+12
2020-12-02 09:41:00,gps,device0,37.02076896,127.1430313,68.68228641,107.62742,6,1.61E+12
2020-12-02 09:41:01,gps,device0,37.02103057,127.1429703,68.74216224,107.30985,6,1.61E+12
2020-12-02 09:41:02,gps,device0,37.02129362,127.1429095,68.75088462,107.3588,6,1.61E+12
2020-12-02 09:41:03,gps,device0,37.02155472,127.1428406,68.78830201,107.31136,6,1.61E+12
2020-12-02 09:41:04,gps,device0,37.02181806,127.1427754,68.7557086,107.6703,6,1.61E+12
2020-12-02 09:41:05,gps,device0,37.02207999,127.1427033,68.66899237,107.41654,8,1.61E+12
2020-12-02 09:41:06,gps,device0,37.02233948,127.1426321,68.54619414,106.76418,6,1.61E+12
2020-12-02 09:41:07,gps,device0,37.02260025,127.1425655,68.57565322,106.72948,6,1.61E+12
2020-12-02 09:41:08,gps,device0,37.02286198,127.1424972,68.65213915,106.705124,6,1.61E+12
2020-12-02 09:41:09,gps,device0,37.02312352,127.1424257,68.81324032,107.181595,6,1.61E+12
2020-12-02 09:41:10,gps,device0,37.023385,127.1423504,68.93047723,107.18782,6,1.61E+12
2020-12-02 09:41:11,gps,device0,37.02364821,127.1422774,68.99021902,107.61503,6,1.61E+12
2020-12-02 09:41:12,gps,device0,37.02391074,127.1422061,69.18919982,106.81221,6,1.61E+12
2020-12-02 09:41:13,gps,device0,37.02417353,127.1421322,69.43181425,107.126785,6,1.61E+12
2020-12-02 09:41:14,gps,device0,37.02443603,127.1420574,69.77924815,107.16078,6,1.61E+12
2020-12-02 09:41:15,gps,device0,37.02470073,127.1419824,70.2538367,106.71217,6,1.61E+12
2020-12-02 09:41:16,gps,device0,37.02496365,127.1419077,70.64964703,105.79979,6,1.61E+12
2020-12-02 09:41:17,gps,device0,37.02522289,127.1418399,71.03521377,104.68994,6,1.61E+12
2020-12-02 09:41:18,gps,device0,37.02547815,127.1417694,71.33372466,103.99215,4,1.61E+12
2020-12-02 09:41:19,gps,device0,37.02573247,127.1416983,71.60351288,103.68333,4,1.61E+12
2020-12-02 09:41:20,gps,device0,37.02598607,127.1416295,71.82010169,102.78745,4,1.61E+12
2020-12-02 09:41:21,gps,device0,37.02623837,127.1415627,71.99801494,102.7863,4,1.61E+12
2020-12-02 09:41:22,gps,device0,37.0264919,127.1414972,72.15393415,102.72345,6,1.61E+12
2020-12-02 09:41:23,gps,device0,37.02674373,127.1414327,72.29497441,102.194565,6,1.61E+12
2020-12-02 09:41:24,gps,device0,37.0269957,127.1413681,72.52255839,102.643814,6,1.61E+12
2020-12-02 09:41:25,gps,device0,37.0272488,127.141298,72.73383849,103.665695,6,1.61E+12
2020-12-02 09:41:26,gps,device0,37.02750318,127.1412237,72.93728396,102.2409,4,1.61E+12
2020-12-02 09:41:27,gps,device0,37.02775677,127.1411548,73.1307249,102.73891,4,1.61E+12
2020-12-02 09:41:28,gps,device0,37.0280107,127.1410901,73.23642042,101.91639,4,1.61E+12
2020-12-02 09:41:29,gps,device0,37.02826304,127.1410272,73.37447744,101.92013,4,1.61E+12
2020-12-02 09:41:30,gps,device0,37.02851517,127.140964,73.55272391,101.86463,6,1.61E+12
2020-12-02 09:41:31,gps,device0,37.02876758,127.1408966,73.75439128,102.116264,6,1.61E+12
2020-12-02 09:41:32,gps,device0,37.02902156,127.1408323,73.99525704,102.83744,6,1.61E+12
2020-12-02 09:41:33,gps,device0,37.02927469,127.1407673,74.24790286,103.03194,6,1.61E+12
2020-12-02 09:41:34,gps,device0,37.02952839,127.1406991,74.44462304,103.40254,6,1.61E+12
2020-12-02 09:41:35,gps,device0,37.02978442,127.140631,74.60656279,104.03866,6,1.61E+12
2020-12-02 09:41:36,gps,device0,37.0300405,127.1405629,74.79232823,103.98257,6,1.61E+12
2020-12-02 09:41:37,gps,device0,37.03029666,127.1404961,74.98797034,105.13951,6,1.61E+12
2020-12-02 09:41:38,gps,device0,37.03055535,127.1404295,75.20529725,105.65509,6,1.61E+12
2020-12-02 09:41:39,gps,device0,37.03081504,127.1403594,75.43106094,105.77767,6,1.61E+12
2020-12-02 09:41:40,gps,device0,37.03107588,127.1402886,75.67369392,106.10225,6,1.61E+12
2020-12-02 09:41:41,gps,device0,37.03133633,127.1402192,75.85743791,105.95559,6,1.61E+12
2020-12-02 09:41:42,gps,device0,37.03160174,127.1401563,75.69218466,106.21273,6,1.61E+12
2020-12-02 09:41:43,gps,device0,37.03186511,127.1400903,75.54264783,106.035355,6,1.61E+12
2020-12-02 09:41:44,gps,device0,37.0321238,127.1400214,75.46329181,105.33885,6,1.61E+12
2020-12-02 09:41:45,gps,device0,37.03238676,127.1399585,75.32774021,107.17753,6,1.61E+12
2020-12-02 09:41:46,gps,device0,37.03265125,127.139892,75.23732891,107.86952,6,1.61E+12
2020-12-02 09:41:47,gps,device0,37.03291216,127.1398216,75.22672164,106.06946,6,1.61E+12
2020-12-02 09:41:48,gps,device0,37.03316874,127.1397493,75.24505284,105.85305,4,1.61E+12
2020-12-02 09:41:49,gps,device0,37.03342606,127.1396811,75.31455031,105.80764,4,1.61E+12
2020-12-02 09:41:50,gps,device0,37.03368559,127.139616,75.43410112,105.597145,4,1.61E+12
2020-12-02 09:41:51,gps,device0,37.03394276,127.1395547,75.60078783,104.44072,4,1.61E+12
2020-12-02 09:41:52,gps,device0,37.03420194,127.1394831,75.75474475,106.11926,4,1.61E+12
2020-12-02 09:41:53,gps,device0,37.03446028,127.1394108,75.94197175,106.1496,6,1.61E+12
2020-12-02 09:41:54,gps,device0,37.03471655,127.1393422,76.14271296,104.52181,6,1.61E+12
