rtime,lkas,ldws,distance,speed,latitude,longtitude
2020-11-30 21:29:25,1,1,,109,37.41808502,127.08206570000002
2020-11-30 21:29:26,1,1,34.47,109,37.41787720000001,127.08227340000002
2020-11-30 21:29:27,1,1,,109,37.41767011,127.0824831
2020-11-30 21:29:28,1,1,,109,37.41746231,127.08269209999999
2020-11-30 21:29:29,1,1,,109,37.41725522,127.0829005
2020-11-30 21:29:30,1,1,,109,37.41704928,127.0831094
2020-11-30 21:29:31,1,1,14.92,109,37.41684445,127.0833175
2020-11-30 21:29:32,1,1,,109,37.41664105,127.08352520000001
2020-11-30 21:29:33,1,1,,109,37.416435299999996,127.08373219999999
2020-11-30 21:29:34,1,1,,109,37.41622963,127.0839393
2020-11-30 21:29:35,1,1,,110,37.41602341,127.0841463
2020-11-30 21:29:36,1,1,,109,37.41581589,127.08435159999998
2020-11-30 21:29:37,1,1,,109,37.41560438,127.0845601
2020-11-30 21:29:38,1,1,,109,37.41539587,127.084769
2020-11-30 21:29:39,1,1,33.91,109,37.41518676,127.0849744
2020-11-30 21:29:40,1,1,31.85,108,37.41498203,127.0851865
2020-11-30 21:29:41,1,1,36.24,109,37.41477447,127.0854028
2020-11-30 21:29:42,1,1,34.47,109,37.41456545,127.0856156
2020-11-30 21:29:43,1,1,,109,37.4143555,127.0858284
2020-11-30 21:29:44,1,1,,109,37.41414909,127.08603970000001
2020-11-30 21:29:45,1,1,,109,37.41394413,127.0862463
2020-11-30 21:29:46,1,1,,110,37.41373909,127.08645020000002
2020-11-30 21:29:47,1,1,,111,37.41353441,127.0866538
2020-11-30 21:29:48,1,1,,111,37.41332685,127.08685940000001
2020-11-30 21:29:49,1,1,,111,37.41310395,127.0870726
2020-11-30 21:29:50,1,1,,111,37.41288927,127.0872868
2020-11-30 21:29:51,1,1,,111,37.41267539,127.08750020000001
2020-11-30 21:29:52,1,1,,112,37.4124625,127.08771409999999
2020-11-30 21:29:53,1,1,,112,37.41224809,127.08792890000001
2020-11-30 21:29:54,1,1,,112,37.41203265,127.08814220000001
2020-11-30 21:29:55,1,1,,111,37.41182015,127.08835800000001
2020-11-30 21:29:56,1,1,,111,37.41160756,127.08857590000001
2020-11-30 21:29:57,1,1,5.99,111,37.41139584,127.08879099999999
2020-11-30 21:29:58,1,1,6.09,110,37.41118471,127.089005
2020-11-30 21:29:59,1,1,6.35,105,37.41097341,127.0892162
2020-11-30 21:30:00,1,1,,100,37.41076233,127.08942409999999
2020-11-30 21:30:01,1,1,7.98,97,37.4105691,127.08961550000001
2020-11-30 21:30:02,1,1,,95,37.41038568,127.0898031
2020-11-30 21:30:03,1,1,8.95,95,37.41020348,127.0899882
2020-11-30 21:30:04,1,1,7.24,97,37.41002262,127.0901717
2020-11-30 21:30:05,1,1,7.7,97,37.40983986,127.0903558
2020-11-30 21:30:06,1,1,,98,37.40965517,127.0905406
2020-11-30 21:30:07,1,1,12.23,99,37.40946838,127.09072920000001
2020-11-30 21:30:08,1,1,10.75,99,37.40928059,127.0909186
2020-11-30 21:30:09,1,1,,100,37.40909293,127.0911072
2020-11-30 21:30:10,1,1,,100,37.40890423,127.0912928
2020-11-30 21:30:11,1,1,,100,37.40871494,127.0914824
2020-11-30 21:30:12,1,1,,100,37.40852391,127.09167360000001
2020-11-30 21:30:13,1,1,13.1,101,37.40832284,127.09186809999999
2020-11-30 21:30:14,1,1,12.05,100,37.40812855,127.09206280000001
2020-11-30 21:30:15,1,1,13.96,100,37.40793915,127.09225490000001
2020-11-30 21:30:16,1,1,,100,37.40775154,127.09244509999999
2020-11-30 21:30:17,1,1,,99,37.40756351,127.0926362
2020-11-30 21:30:18,1,1,13.1,99,37.40737078,127.09282920000001
2020-11-30 21:30:19,1,1,16.29,99,37.40718458,127.09301529999999
2020-11-30 21:30:20,1,1,17.06,98,37.40699491,127.0932057
2020-11-30 21:30:21,1,1,16.44,97,37.40680733,127.0934001
2020-11-30 21:30:22,1,1,12.9,96,37.40662555,127.09359440000001
2020-11-30 21:30:23,1,1,,94,37.40644661,127.09378190000001
